date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2019-04-19,sh.000001,3250.1450,3274.3340,3226.8120,3270.7970,3250.2010,31519800320,315131920384.0000,3,0.933748,1,0.633700,0.000000,0.000000,0.000000,0.000000,0
2019-04-22,sh.000001,3278.4900,3279.4890,3206.8780,3215.0420,3270.7970,35321738752,359154298880.0000,3,1.046125,1,-1.704600,0.000000,0.000000,0.000000,0.000000,0
2019-04-23,sh.000001,3211.8710,3231.5810,3186.7560,3198.5930,3215.0420,32836120832,324870184960.0000,3,0.972384,1,-0.511600,0.000000,0.000000,0.000000,0.000000,0
2019-04-24,sh.000001,3203.5580,3210.6500,3156.6070,3201.6130,3198.5930,27487216384,278410854400.0000,3,0.812234,1,0.094400,0.000000,0.000000,0.000000,0.000000,0
2019-04-25,sh.000001,3190.5850,3193.7490,3123.0250,3123.8260,3201.6130,32587912960,309076082688.0000,3,0.962964,1,-2.429600,0.000000,0.000000,0.000000,0.000000,0
2019-04-26,sh.000001,3108.1630,3129.2130,3085.8040,3086.3980,3123.8260,28087385344,274776403968.0000,3,0.829442,1,-1.198100,0.000000,0.000000,0.000000,0.000000,0
2019-04-29,sh.000001,3090.6330,3107.7600,3050.0260,3062.4980,3086.3980,29211488512,289063280640.0000,3,0.862418,1,-0.774400,0.000000,0.000000,0.000000,0.000000,0
2019-04-30,sh.000001,3052.6220,3088.4070,3052.6220,3078.3380,3062.4980,22230251776,225498128384.0000,3,0.656432,1,0.517200,0.000000,0.000000,0.000000,0.000000,0
2019-05-06,sh.000001,2984.7270,2986.5390,2876.4680,2906.4640,3078.3380,32697227008,314336518144.0000,3,0.965149,1,-5.583300,0.000000,0.000000,0.000000,0.000000,0
2019-05-07,sh.000001,2914.2910,2937.2830,2889.0730,2926.3900,2906.4640,25328176896,245444214784.0000,3,0.747574,1,0.685600,0.000000,0.000000,0.000000,0.000000,0
2019-05-08,sh.000001,2873.1430,2929.4300,2866.7040,2893.7560,2926.3900,23153051904,218892619776.0000,3,0.683252,1,-1.115200,0.000000,0.000000,0.000000,0.000000,0
2019-05-09,sh.000001,2871.1960,2888.8590,2845.0370,2850.9530,2893.7560,20004113408,197446881280.0000,3,0.590205,1,-1.479200,0.000000,0.000000,0.000000,0.000000,0
2019-05-10,sh.000001,2878.2340,2941.4530,2838.3840,2939.2100,2850.9530,28230680832,274176262144.0000,3,0.832715,1,3.095700,0.000000,0.000000,0.000000,0.000000,0
2019-05-13,sh.000001,2905.0670,2921.4100,2892.1740,2903.7130,2939.2100,21202988288,202624126976.0000,3,0.625271,1,-1.207700,0.000000,0.000000,0.000000,0.000000,0
2019-05-14,sh.000001,2872.8330,2909.2040,2872.8330,2883.6100,2903.7130,20834535424,201223315456.0000,3,0.614406,1,-0.692300,0.000000,0.000000,0.000000,0.000000,0
2019-05-15,sh.000001,2902.6420,2945.3940,2902.6420,2938.6780,2883.6100,23051970048,226262786048.0000,3,0.679754,1,1.909700,0.000000,0.000000,0.000000,0.000000,0
2019-05-16,sh.000001,2933.4950,2956.1710,2929.0640,2955.7110,2938.6780,24838569984,226203070464.0000,3,0.732394,1,0.579600,0.000000,0.000000,0.000000,0.000000,0
2019-05-17,sh.000001,2955.7660,2956.7830,2873.7990,2882.2960,2955.7110,26630164224,247875178496.0000,3,0.785154,1,-2.483800,0.000000,0.000000,0.000000,0.000000,0
